Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69e00b90ebc548a026dbe259,69a1a6245c60b6a02fc72573,APPROVED,Not Applicable,2026-04-15T22:07:46.818000Z,2026-04-15T22:18:12.981000Z,2026-04-15T22:18:13.822000Z,2026-04-15T22:18:13.718079Z,627.0,C1C28QBX,561,"English, Vietnamese",24,Female,Asian,United States,United States,United States,English,Yes,Part-Time
69e00bbf5c169b4cd18e3c45,69b4bd40f97c2856be0eada4,APPROVED,Not Applicable,2026-04-15T22:05:53.787000Z,2026-04-15T22:07:42.749000Z,2026-04-15T22:07:43.444000Z,2026-04-15T22:07:43.378664Z,109.0,C1C28QBX,82,English,24,Male,Asian,Korea,United States,United States,English,No,Full-Time
69e00cc35ab40e98b689d537,698c1e0136e0c3b82a9c9a59,APPROVED,Not Applicable,2026-04-15T22:10:16.754000Z,2026-04-15T22:16:11.383000Z,2026-04-15T22:16:11.927000Z,2026-04-15T22:16:11.880242Z,355.0,C1C28QBX,633,"English, French",32,Male,Black,United States,United States,United States,English,No,Part-Time
69e00cf833309ef041b4fb11,69dc2d7ebf05ef7e2ca0f1c5,APPROVED,Not Applicable,2026-04-15T22:11:08.085000Z,2026-04-15T22:12:14.796000Z,2026-04-15T22:12:18.443000Z,2026-04-15T22:12:15.344178Z,67.0,C1C28QBX,16,English,25,Female,Asian,United States,United States,United States,English,No,Full-Time
69e00d366f55a9bccfa4bdc3,69d0b621cd3c081b61e34949,APPROVED,Not Applicable,2026-04-15T22:12:08.477000Z,2026-04-15T22:13:15.552000Z,2026-04-15T22:13:16.142000Z,2026-04-15T22:13:16.106525Z,68.0,C1C28QBX,140,English,25,Male,White,United States,United States,United States,English,No,Other
69e00d37ab9dc5fd55b7a892,62fc68b4f44b013950b67b11,APPROVED,Not Applicable,2026-04-15T22:12:10.709000Z,2026-04-15T22:13:45.784000Z,2026-04-15T22:13:46.364000Z,2026-04-15T22:13:46.278030Z,96.0,C1C28QBX,5247,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69e00ebf0399b425bc4a1960,69ca21e8059ce6bee25c12ef,APPROVED,Not Applicable,2026-04-15T22:18:44.009000Z,2026-04-15T22:20:22.124000Z,2026-04-15T22:20:22.935000Z,2026-04-15T22:20:22.859000Z,99.0,C1C28QBX,324,"Spanish, English",35,Male,White,United States,United States,United States,English,No,Full-Time
69e0101b824b124d4d112481,5cefb763672ef40001f3a364,APPROVED,Not Applicable,2026-04-15T22:24:31.048000Z,2026-04-15T22:25:42.245000Z,2026-04-15T22:25:54.771000Z,2026-04-15T22:25:42.746609Z,72.0,C1C28QBX,1564,English,34,Male,White,United States,United States,United States,English,No,Full-Time
69e01097c1baf8a9664a71fd,66d0e8813c0a69291c362cba,APPROVED,Not Applicable,2026-04-15T22:26:50.467000Z,2026-04-15T22:28:08.968000Z,2026-04-15T22:28:25.962000Z,2026-04-15T22:28:09.417052Z,79.0,C1C28QBX,5552,English,24,Male,Mixed,United States,United States,United States,English,No,Full-Time
69e01207978cc50d11faa950,65d6a09286a0c99e632a46dd,APPROVED,Not Applicable,2026-04-15T22:32:42.025000Z,2026-04-15T22:33:52.372000Z,2026-04-15T22:33:53.439000Z,2026-04-15T22:33:52.940827Z,71.0,C1C28QBX,2785,English,23,Male,White,United States,United States,United States,English,No,Full-Time
69e0179ef67f1c2905896d3c,62e174454a461d00781acfe1,APPROVED,Not Applicable,2026-04-15T22:56:34.093000Z,2026-04-15T22:59:40.374000Z,2026-04-15T22:59:41.172000Z,2026-04-15T22:59:41.083286Z,187.0,C1C28QBX,4468,"English, Spanish",27,Female,Other,Mexico,United States,United States,Spanish,No,Full-Time
