participant_id,true_rule,chosen_rule,true_blicket_objects,chosen_objects,num_unique_tests,info_gain_per_test,avg_response_time,num_tests_before_qa,action_history_length,info_gain_per_action,mean_info_gain_per_action
60da4f9aa1ced7efeecca18a,conjunctive,conjunctive,"[1, 2]","[1, 2]",11,"[0.32192809488736235, 0.2630344058337938, 0.32192809488736235, 0.19264507794239583, 0.0, 0.48542682717024166, 0.32192809488736235, 0.0, 1.0, 0.0, 1.0, 0.0]",10.197,12,41,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.2630344058337938, 0.0, 0.0, 0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.19264507794239583, 0.0, 0.0, 0.0, 0.0, 0.48542682717024166, 0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.48836132445106484
60db3cf3270edd7c9c7e0bd3,conjunctive,conjunctive,"[0, 3]","[0, 3]",8,"[0.32192809488736235, 0.41503749927884376, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",10.011,9,32,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 0.0, 0.0, 0.0, 3.169925001442312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.3022968652028395
60fcc292d13ae9614d4a77a7,disjunctive,disjunctive,"[1, 3]","[1, 3]",5,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0]",6.131,5,15,"[0.0, 1.0995356735509143, 0.0, 0.0, 0.8073549220576041, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
60fd05fdd8f4081c41972a1b,disjunctive,disjunctive,"[0, 3]","[0, 3]",6,"[0.32192809488736235, 0.5849625007211562, 0.41503749927884376, 1.584962500721156, 1.0, 0.0]",9.75,6,18,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.5849625007211562, 0.0, 0.0, 0.0, 0.41503749927884376, 0.0, 1.584962500721156, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7813781191217036
60fda57e0916dfe2157c9b00,conjunctive,conjunctive,"[2, 3]",[2],12,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.014,16,55,"[0.0, 0.09953567355091437, 0.0, 0.0, 0.10691520391651188, 0.0, 0.0, 0.11547721741993588, 0.0, 0.0, 0.12553088208385882, 0.0, 3.4594316186372973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7813781191217036
60ff33eea57872b7188f12e2,disjunctive,disjunctive,"[0, 2]","[0, 2]",6,"[0.9068905956085185, 1.0, 1.0, 1.0, 0.0, 0.0]",5.924,6,20,"[0.0, 0.9068905956085185, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021297
6100b6365a3b961d941f7071,conjunctive,conjunctive,"[1, 2]",[],5,"[0.32192809488736235, 0.12553088208385882, 0.13750352374993502, 0.0, 0.0]",9.001,5,17,"[0.0, 0.0, 0.32192809488736235, 0.0, 0.0, 0.0, 0.12553088208385882, 0.0, 0.0, 0.13750352374993502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.1949875002403854
610329975d39376c37360d3c,disjunctive,disjunctive,"[1, 3]","[1, 3]",6,"[1.0995356735509143, 0.8073549220576041, 1.0, 1.0, 0.0, 0.0]",4.471,6,22,"[0.0, 1.0995356735509143, 0.0, 0.0, 0.8073549220576041, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9767226489021296
610825355ae77bd1867d118e,conjunctive,conjunctive,"[1, 2]","[1, 2]",10,"[0.09953567355091437, 0.10691520391651188, 0.11547721741993588, 0.12553088208385882, 0.13750352374993502, 0.15200309344505006, 0.16992500144231237, 0.19264507794239583, 0.22239242133644802, 2.584962500721156]",4.5,10,28,"[0.0, 0.09953567355091437, 0.0, 0.0, 0.10691520391651188, 0.0, 0.0, 0.11547721741993588, 0.0, 0.0, 0.12553088208385882, 0.0, 0.13750352374993502, 0.0, 0.0, 0.15200309344505006, 0.0, 0.0, 0.16992500144231237, 0.0, 0.0, 0.19264507794239583, 0.0, 0.0, 0.22239242133644802, 0.0, 0.0, 2.584962500721156]",0.3906890595608518
610863156133d1485b80d389,disjunctive,disjunctive,"[0, 1]",[0],5,"[0.0, 0.09953567355091437, 2.807354922057604, 0.0, 0.0]",4.568,5,14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09953567355091437, 0.0, 2.807354922057604, 0.0, 0.0, 0.0, 0.0, 0.0]",1.4534452978042594
